
Name                                                                   AppID                                                                                                               
???????                                                                {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\notepad.exe                                                                  
????????? ?????? ODBC (64-????????? ??????)                            {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\odbcad32.exe                                                                 
???????? ??????????                                                    {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\osk.exe                                                                      
?????????? ???????                                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\printmanagement.msc                                                          
???????? ?????? ????????                                               {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\psr.exe                                                                      
??????? ??????                                                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\quickassist.exe                                                              
???? ??????????????                                                    {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\RecoveryDrive.exe                                                            
??????                                                                 {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\services.msc                                                                 
???????                                                                {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\SnippingTool.exe                                                             
??????? ??????????? ????????? Windows ? ?????? ?????????? ???????????? {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WF.msc                                                                       
????? ? ????????????                                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WFS.exe                                                                      
Windows PowerShell                                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\powershell.exe                                        
Windows PowerShell ISE                                                 {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\PowerShell_ISE.exe                                    
Math Input Panel                                                       {6D809377-6AF0-444B-8957-A3773F02200E}\Common Files\Microsoft Shared\Ink\mip.exe                                    
Git GUI                                                                {6D809377-6AF0-444B-8957-A3773F02200E}\Git\cmd\git-gui.exe                                                          
Git Release Notes                                                      {6D809377-6AF0-444B-8957-A3773F02200E}\Git\ReleaseNotes.html                                                        
??????                                                                 {6D809377-6AF0-444B-8957-A3773F02200E}\Gothic\system\GothicStarter.exe                                              
??????? Novus_alter_rus                                                {6D809377-6AF0-444B-8957-A3773F02200E}\Gothic\system\unins000.exe                                                   
PyCharm 2023.1.2                                                       {6D809377-6AF0-444B-8957-A3773F02200E}\JetBrains\PyCharm 2023.1.2\bin\pycharm64.exe                                 
Guitar Rig 6                                                           {6D809377-6AF0-444B-8957-A3773F02200E}\Native Instruments\Guitar Rig 6\Guitar Rig 6.exe                             
???????? ????????????????? ??                                          {6D809377-6AF0-444B-8957-A3773F02200E}\PCHealthCheck\PCHealthCheck.exe                                              
Rockstar Games Launcher                                                {6D809377-6AF0-444B-8957-A3773F02200E}\Rockstar Games\Launcher\LauncherPatcher.exe                                  
WordPad                                                                {6D809377-6AF0-444B-8957-A3773F02200E}\Windows NT\Accessories\wordpad.exe                                           
????????? Assassins Creed 4 Black Flag                                 {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Assassins Creed 4 Black Flag\GameLauncher.exe                                
Assassins Creed IV Black Flag                                          {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Assassins Creed IV Black Flag\AC4BFSP.exe                                    
Call of Duty 4 - Modern Warfare                                        {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Call of Duty 4 - Modern Warfare\iw3mp.exe                                    
